date,time,DOY,Ta,Pa,RH,Td,Tc,Rn,LWin,LWout,SWin,SWout,PPFD,P_rain,MWS,WD,Ts_1_1_1,Ts_2_1_1,Ts_3_1_1,SWC_1_1_1,SWC_2_1_1,SWC_3_1_1,SHF_1_1_1,SHF_2_1_1,SHF_3_1_1,LE,H
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[K],[Pa],[%],[C],[K],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[µmol/m^2/s],[m],[m/s],[Degrees_past_North],[K],[K],[K],[m^3/m^3],[m^3/m^3],[m^3/m^3],[W/m^2],[W/m^2],[W/m^2],[W+1M-2],[W+1M-2]
2014-01-01,00:30:00,1.0208,285.499,100523.0,87.5984,,285.499,,,,,,0.00923936,0.0,2.88781,295.326,287.806,286.55,285.912,0.580774,0.677433,0.264485,1.8994,0.491621,0.75012,0.987573,2.1082
2014-01-01,01:00:00,1.0416,285.169,100531.0,88.4022,,285.169,,,,,,0.0103398,0.0,2.62798,302.239,287.714,286.498,285.869,0.581969,0.677369,0.264282,1.43969,0.225682,0.559402,0.167466,-4.62751
2014-01-01,01:30:00,1.0624,285.089,100526.0,89.6953,,285.089,,,,,,0.01518,0.0,3.55186,309.803,287.611,286.431,285.818,0.583308,0.677512,0.264079,0.982225,-0.0325655,0.359773,-0.209549,-25.0692
2014-01-01,02:00:00,1.0833,285.388,100514.0,87.918,,285.388,,,,,,0.0231,0.0,3.32419,336.097,287.516,286.368,285.768,0.584545,0.677424,0.263918,0.527264,-0.292637,0.154871,1.01281,-19.3618
2014-01-01,02:30:00,1.1041,285.454,100498.0,84.4577,,285.454,,,,,,0.00813989,0.0,2.428,325.004,287.444,286.329,285.73,0.585552,0.677087,0.264359,0.0889233,-0.54519,-0.0367778,-1.87587,-2.52581
2014-01-01,03:00:00,1.1249,285.058,100486.0,88.749,,285.058,,,,,,0.0307997,0.0,1.77522,314.237,287.397,286.312,285.713,0.586176,0.676613,0.264639,-0.316801,-0.774918,-0.217594,0.0257518,-13.8909
2014-01-01,03:30:00,1.1458,285.214,100472.0,88.0623,,285.214,,,,,,0.0143002,0.0,2.06743,307.392,287.33,286.271,285.683,0.587082,0.676473,0.26479,-0.696375,-0.982279,-0.383688,0.576052,-20.0861
2014-01-01,04:00:00,1.1666,285.135,100457.0,88.0545,,285.135,,,,,,0.035861,0.0,2.0388,325.328,287.241,286.209,285.629,0.588291,0.67669,0.264903,-1.0468,-1.16751,-0.529819,-0.290447,-18.938
2014-01-01,04:30:00,1.1874,285.274,100444.0,87.3604,,285.274,,,,,,0.0204606,0.0,2.56112,317.919,287.165,286.162,285.588,0.589304,0.676627,0.26489,-1.37793,-1.34124,-0.672504,1.49713,-10.962
2014-01-01,05:00:00,1.2082,285.591,100446.0,92.1934,,285.591,,,,,,0.0484011,0.0,3.88037,322.998,287.087,286.105,285.541,0.590434,0.676715,0.265117,-1.69253,-1.50276,-0.811701,-3.02904,-79.0345
2014-01-01,05:30:00,1.2291,285.744,100450.0,93.6052,,285.744,,,,,,2.83207,0.0,2.86855,307.403,287.016,286.056,285.497,0.591465,0.676768,0.265494,-1.98504,-1.65004,-0.936295,0.0712814,-3.57564
2014-01-01,06:00:00,1.2499,285.125,100436.0,93.4715,,285.125,,,,,,19.8349,0.0,3.13167,316.829,286.965,286.025,285.467,0.592259,0.676598,0.265704,-2.2509,-1.77883,-1.04907,5.09269,-25.1196
2014-01-01,06:30:00,1.2707,285.58,100450.0,89.3804,,285.58,,,,,,107.515,0.0,3.09495,344.099,286.912,285.988,285.435,0.593022,0.676584,0.265866,-2.48692,-1.88356,-1.14101,0.259074,-32.3622
2014-01-01,07:00:00,1.2916,285.724,100455.0,88.8313,,285.724,,,,,,170.978,0.0,3.15161,316.595,286.856,285.944,285.4,0.593851,0.67669,0.26597,-2.69153,-1.96202,-1.21058,-0.54171,-23.9706
2014-01-01,07:30:00,1.3124,286.185,100489.0,88.4526,,286.185,,,,,,223.431,0.0,2.68349,332.994,286.793,285.895,285.358,0.594712,0.676788,0.266031,-2.86744,-2.01826,-1.26235,0.65506,-4.03241
2014-01-01,08:00:00,1.3332,287.0,100515.0,78.822,,287.0,,,,,,461.056,0.0,3.80649,19.4159,286.733,285.846,285.317,0.595556,0.676682,0.266043,-3.01686,-2.05249,-1.29922,21.3527,-20.2761
